iter	Passed	Remaining
555	5464	4363
556	5473	4353
557	5481	4341
558	5490	4331
559	5498	4320
560	5507	4310
561	5515	4298
562	5524	4287
563	5531	4276
564	5539	4265
565	5547	4253
566	5555	4242
567	5563	4231
568	5573	4221
569	5581	4210
570	5590	4200
571	5598	4188
572	5607	4178
573	5614	4167
574	5623	4156
575	5634	4147
576	5643	4137
577	5652	4127
578	5659	4115
579	5669	4105
580	5677	4094
581	5686	4083
582	5695	4073
583	5704	4063
584	5713	4052
585	5722	4042
586	5730	4031
587	5738	4020
588	5745	4009
589	5754	3998
590	5761	3987
591	5770	3977
592	5778	3965
593	5788	3956
594	5797	3946
595	5806	3935
596	5816	3926
597	5824	3915
598	5833	3905
599	5843	3895
600	5851	3885
601	5860	3874
602	5868	3863
603	5877	3853
604	5884	3842
605	5893	3832
606	5901	3820
607	5910	3810
608	5918	3799
609	5928	3790
610	5935	3778
611	5944	3768
612	5952	3757
613	5961	3747
614	5970	3737
615	5978	3726
616	5985	3715
617	5994	3705
618	6001	3693
619	6009	3683
620	6017	3672
621	6027	3662
622	6035	3652
623	6043	3641
624	6051	3630
625	6059	3619
626	6066	3609
627	6075	3598
628	6082	3587
629	6090	3577
630	6099	3566
631	6107	3556
632	6115	3545
633	6125	3535
634	6132	3525
635	6141	3514
636	6148	3504
637	6156	3493
638	6164	3482
639	6174	3472
640	6183	3463
641	6191	3452
642	6200	3442
643	6207	3431
644	6215	3421
645	6223	3410
646	6232	3400
647	6239	3389
648	6248	3379
649	6256	3368
650	6264	3358
651	6272	3347
652	6281	3337
653	6289	3327
654	6299	3318
655	6307	3307
656	6316	3297
657	6324	3287
658	6334	3277
659	6341	3266
660	6353	3258
661	6363	3249
662	6370	3238
663	6379	3228
664	6387	3217
665	6397	3208
666	6405	3198
667	6414	3188
668	6422	3177
669	6431	3167
670	6439	3157
671	6448	3147
672	6455	3136
673	6464	3126
674	6472	3116
675	6480	3106
676	6488	3095
677	6497	3085
678	6504	3075
679	6513	3065
680	6520	3054
681	6529	3044
682	6537	3034
683	6547	3024
684	6554	3014
685	6564	3004
686	6572	2994
687	6581	2984
688	6588	2973
689	6597	2964
690	6604	2953
691	6613	2943
692	6621	2933
693	6630	2923
694	6638	2913
695	6646	2903
696	6654	2892
697	6663	2883
698	6671	2872
699	6680	2863
700	6689	2853
701	6697	2842
702	6705	2832
703	6713	2822
704	6722	2812
705	6730	2802
706	6738	2792
707	6745	2782
708	6755	2772
709	6763	2762
710	6772	2752
711	6781	2743
712	6791	2733
713	6800	2723
714	6809	2714
715	6816	2703
716	6825	2693
717	6832	2683
718	6841	2673
719	6848	2663
720	6859	2654
721	6869	2645
722	6877	2634
723	6886	2625
724	6894	2615
725	6904	2605
726	6911	2595
727	6920	2585
728	6928	2575
729	6937	2565
730	6945	2555
731	6953	2545
732	6961	2535
733	6971	2526
734	6978	2516
735	6987	2506
736	6995	2496
737	7004	2486
738	7012	2476
739	7020	2466
740	7029	2456
741	7037	2447
742	7045	2436
743	7053	2427
744	7061	2417
745	7071	2407
746	7078	2397
747	7088	2387
748	7095	2377
749	7103	2367
750	7111	2358
751	7120	2348
752	7127	2338
753	7136	2328
754	7145	2318
755	7154	2308
756	7162	2299
757	7170	2289
758	7178	2279
759	7187	2269
760	7197	2260
761	7204	2250
762	7213	2240
763	7220	2230
764	7229	2220
765	7236	2210
766	7246	2201
767	7253	2191
768	7262	2181
769	7269	2171
770	7279	2162
771	7288	2152
772	7297	2143
773	7305	2133
774	7314	2123
775	7321	2113
776	7330	2103
777	7337	2093
778	7346	2084
779	7353	2074
780	7363	2064
781	7372	2055
782	7381	2045
783	7388	2035
784	7398	2026
785	7406	2016
786	7416	2007
787	7424	1997
788	7432	1987
789	7440	1977
790	7448	1968
791	7456	1958
792	7464	1948
793	7473	1938
794	7481	1929
795	7490	1919
796	7500	1910
797	7510	1901
798	7517	1891
799	7528	1882
800	7536	1872
801	7544	1862
802	7551	1852
803	7560	1843
804	7567	1833
805	7577	1823
806	7586	1814
807	7595	1804
808	7603	1795
809	7611	1785
810	7619	1775
811	7627	1766
812	7635	1756
813	7644	1746
814	7652	1737
815	7660	1727
816	7668	1717
817	7676	1708
818	7684	1698
819	7692	1688
820	7702	1679
821	7711	1669
822	7720	1660
823	7728	1650
824	7737	1641
825	7746	1631
826	7754	1622
827	7762	1612
828	7771	1603
829	7778	1593
830	7787	1583
831	7795	1574
832	7805	1564
833	7814	1555
834	7823	1545
835	7830	1536
836	7840	1526
837	7848	1517
838	7856	1507
839	7864	1498
840	7874	1488
841	7883	1479
